Status,Tag Code,State,Agency,Rearing Code,Location (Facility or Wild Stock),Year Brood,Stock,Ancestry,Species,Stage,Weight,Length,Year Released,Release Site,Date Last Released,Ad Clipped and Tagged,Total Released,Experiment Code,Region Released,Mark Code,Thermal Mark Hatch Code,Thermal Mark RBr,Mark ID,Comment (PSMFC)
NOT TAGGED,!12836PWSA03,AK,PWSA,H,A F KOERNIG,1982,A F KOERNIG,,PINK,EMERGENT FRY,0.21,31,1983,PORT SAN JUAN 226-40,5/1/1983,0,5000000,,2,NO MARK,,,,
NOT TAGGED,!12836PWSA02,AK,PWSA,H,A F KOERNIG,1982,A F KOERNIG,,PINK,FED FRY     ,0.3,35,1983,PORT SAN JUAN 226-40,6/3/1983,0,82384533,,2,NO MARK,,,,
NOT TAGGED,!12835VFDA01,AK,VFDA,H,SOLOMON GULCH,1982,CROOKED CR 221-60,,CHUM,FED FRY     ,0.5,42,1983,SOLOMON GULCH 221-60,6/1/1983,0,427465,,2,NO MARK,,,,
NOT TAGGED,!12836VFDA01,AK,VFDA,H,SOLOMON GULCH,1982,VLASOFF CR 221-50,,PINK,FED FRY     ,0.3,38,1983,SOLOMON GULCH 221-60,4/21/1983,0,5600000,,2,NO MARK,,,,
TAGGED,311654,AK,ADFG,M,(M) GULKANA R,1983,GULKANA R,,SOCKEYE,,6.5,,1985,SUMMIT LK 212-20,6/1/1985,19213,223560,C,2,AD,,,,
NOT TAGGED,!12845ADFG01,AK,ADFG,H,CANNERY CREEK,1983,CANNERY CR,,CHUM,FED FRY     ,0.34,,1984,CANNERY CR 222-50,5/25/1984,0,1796000,,2,NO MARK,,,,
NOT TAGGED,!12846ADFG07,AK,ADFG,H,CANNERY CREEK,1983,CANNERY CR,,PINK,FED FRY     ,0.2,,1984,CANNERY CR 222-50,5/23/1984,0,29271000,,2,NO MARK,,,,
NOT TAGGED,!12846ADFG01,AK,ADFG,H,CANNERY CREEK,1983,CANNERY CR,,PINK,FED FRY     ,0.2,,1984,PWS STREAM #273 222-30,5/9/1984,0,318000,,2,NO MARK,,,,
NOT TAGGED,!12846ADFG02,AK,ADFG,H,CANNERY CREEK,1983,CANNERY CR,,PINK,FED FRY     ,0.2,,1984,PWS STREAM #276 222-30,5/9/1984,0,318000,,2,NO MARK,,,,
NOT TAGGED,!12846ADFG03,AK,ADFG,H,CANNERY CREEK,1983,CANNERY CR,,PINK,FED FRY     ,0.2,,1984,PWS STREAM #277 222-30,5/9/1984,0,159000,,2,NO MARK,,,,
NOT TAGGED,!12846ADFG04,AK,ADFG,H,CANNERY CREEK,1983,CANNERY CR,,PINK,FED FRY     ,0.2,,1984,PWS STREAM #278 222-30,5/9/1984,0,159000,,2,NO MARK,,,,
NOT TAGGED,!12846ADFG05,AK,ADFG,H,CANNERY CREEK,1983,CANNERY CR,,PINK,FED FRY     ,0.2,,1984,PWS STREAM #282 222-30,5/9/1984,0,477250,,2,NO MARK,,,,
NOT TAGGED,!12846ADFG06,AK,ADFG,H,CANNERY CREEK,1983,CANNERY CR,,PINK,FED FRY     ,0.2,,1984,PWS STREAM #283 222-30,5/9/1984,0,478500,,2,NO MARK,,,,
NOT TAGGED,!12841ADFG02,AK,ADFG,H,ELMENDORF,1983,CROOKED CR 244-30,,CHINOOK,PRESMOLT    ,17.48,,1984,COVE CR 224-10,6/20/1984,0,117590,,2,NO MARK,,,,
TAGGED,311643,AK,ADFG,H,ELMENDORF,1983,CROOKED CR 244-30,,COHO,,26.59,,1985,PASSAGE CANAL 224-10,5/1/1985,10255,54192,,2,AD,,,,
TAGGED,311644,AK,ADFG,H,ELMENDORF,1983,CROOKED CR 244-30,,COHO,,24.31,,1985,PASSAGE CANAL 224-10,5/1/1985,10671,54308,,2,AD,,,,
NOT TAGGED,!12842ADFG28,AK,ADFG,H,FORT RICHARDSON,1983,MILE 18 CR 212-10,,COHO,FINGERLING  ,0.79,,1984,CULROSS LK 224-30 (B),6/7/1984,0,61261,,2,NO MARK,,,,
NOT TAGGED,!12844ADFG09,AK,ADFG,H,GULKANA,1983,GULKANA,,SOCKEYE,EMERGENT FRY,0.15,,1984,PAXSON LK 212-20,7/10/1984,0,16159968,,2,NO MARK,,,,
NOT TAGGED,!12844ADFG10,AK,ADFG,H,GULKANA,1983,GULKANA,,SOCKEYE,EMERGENT FRY,0.15,,1984,SUMMIT LK 212-20,6/25/1984,0,4741759,,2,NO MARK,,,,
NOT TAGGED,!12845ADFG04,AK,ADFG,H,MAIN BAY,1983,WELLS R 222-20,,CHUM,FED FRY     ,0.4,,1984,LAKE BAY 223-40,4/25/1984,0,7355000,,2,NO MARK,,,,
TAGGED,B41409,AK,ADFG,H,MAIN BAY,1983,WELLS R 222-20,,CHUM,,0.4,,1984,MAIN BAY 225-20,5/1/1984,57482,3353582,,2,AD,,,,
TAGGED,B41408,AK,ADFG,H,MAIN BAY,1983,WELLS R 222-20,,CHUM,,0.9,,1984,MAIN BAY 225-20,5/1/1984,52165,3185029,,2,AD,,,,
NOT TAGGED,!12845ADFG05,AK,ADFG,H,MAIN BAY,1983,WELLS R 222-20,,CHUM,FED FRY     ,0.34,,1984,MAIN BAY 225-20,5/5/1984,0,951680,,2,NO MARK,,,,
NOT TAGGED,!12846ADFG08,AK,ADFG,H,MAIN BAY,1983,MAIN BAY,,PINK,FED FRY     ,0.21,,1984,MAIN BAY 225-20,5/8/1984,0,41945403,,2,NO MARK,,,,
NOT TAGGED,!12845PWSA01,AK,PWSA,H,A F KOERNIG,1983,A F KOERNIG,,CHUM,FED FRY     ,0.39,38,1984,PORT SAN JUAN 226-40,6/17/1984,0,7654292,,2,NO MARK,,,,
NOT TAGGED,!12846PWSA01,AK,PWSA,H,A F KOERNIG,1983,A F KOERNIG,,PINK,FED FRY     ,0.2,,1984,PORT SAN JUAN 226-40,5/29/1984,0,76746000,,2,NO MARK,,,,
NOT TAGGED,!12845VFDA01,AK,VFDA,H,SOLOMON GULCH,1983,CROOKED CR 221-60,,CHUM,FED FRY     ,0.68,44,1984,SOLOMON GULCH 221-60,6/15/1984,0,900000,,2,NO MARK,,,,
NOT TAGGED,!12852VFDA01,AK,VFDA,H,SOLOMON GULCH,1983,CORBIN CR 221-60,,COHO,SMOLT       ,22.7,,1985,SOLOMON GULCH 221-60,6/15/1985,0,90000,,2,NO MARK,,,,
NOT TAGGED,!12846VFDA01,AK,VFDA,H,SOLOMON GULCH,1983,SIWASH BAY CR 222-20,,PINK,FED FRY     ,0.26,36,1984,SOLOMON GULCH 221-60,5/13/1984,0,8390000,,2,NO MARK,,,,
TAGGED,311656,AK,ADFG,M,(M) GULKANA R,1984,GULKANA R,,SOCKEYE,,3.4,,1986,SUMMIT LK 212-20,6/14/1986,18882,20238,C,2,AD,,,,
TAGGED,311657,AK,ADFG,M,(M) GULKANA R,1984,GULKANA R,,SOCKEYE,,3.5,,1986,SUMMIT LK 212-20,6/25/1986,20080,20765,C,2,AD,,,,
TAGGED,311728,AK,ADFG,M,(M) GULKANA R,1984,GULKANA R,,SOCKEYE,,3.9,,1986,SUMMIT LK 212-20,7/2/1986,13541,13733,C,2,AD,,,,
NOT TAGGED,!12855ADFG01,AK,ADFG,H,CANNERY CREEK,1984,CANNERY CR,,CHUM,FED FRY     ,0.36,,1985,CANNERY CR 222-50,5/25/1985,0,760000,,2,NO MARK,,,,
NOT TAGGED,!12856ADFG04,AK,ADFG,H,CANNERY CREEK,1984,CANNERY CR,,PINK,FED FRY     ,0.21,,1985,CANNERY CR 222-50,5/25/1985,0,31031200,,2,NO MARK,,,,
NOT TAGGED,!12856ADFG05,AK,ADFG,H,CANNERY CREEK,1984,CANNERY CR,,PINK,FED FRY     ,0.2,,1985,DERICKSON BAY 222-20,5/17/1985,0,2003800,,2,NO MARK,,,,
NOT TAGGED,!12851ADFG02,AK,ADFG,H,ELMENDORF,1984,CROOKED CR 244-30,,CHINOOK,PRESMOLT    ,17.9,,1985,COVE CR 224-10,6/4/1985,0,61400,,2,NO MARK,,,,
NOT TAGGED,!12851ADFG16,AK,ADFG,H,ELMENDORF,1984,CROOKED CR 244-30,,CHINOOK,SMOLT       ,16.9,,1985,PASSAGE CANAL 224-10,5/31/1985,0,70757,,2,NO MARK,,,,
TAGGED,311723,AK,ADFG,H,ELMENDORF,1984,CROOKED CR 244-30,,COHO,,21,,1986,WELLS PASSAGE 223-40,5/27/1986,14849,54474,,2,AD,,,,
TAGGED,311722,AK,ADFG,H,ELMENDORF,1984,CROOKED CR 244-30,,COHO,,21.5,,1986,WELLS PASSAGE 223-40,5/28/1986,15534,50222,,2,AD,,,,
NOT TAGGED,!12852ADFG32,AK,ADFG,H,FORT RICHARDSON,1984,MILE 18 CR 212-10,,COHO,FINGERLING  ,4.1,,1985,CULROSS LK 224-30 (B),6/27/1985,0,96900,,2,NO MARK,,,,
