CruiseName,StNo,Year,Julian Day,SalPpt50m,SalPpt100m
HX279,98,2003,288,30.731,32.111
LO67,1,2003,30,30.772,32.032
NW2,99,2003,2,30.772,32.048
HX280,2,2003,335,30.466,31.875
HX280,20,2003,338,30.413,31.094
HX280,79,2003,343,30.585,31.579
LO69,1,2004,30,31.295,31.39
HX281,2,2004,78,31.363,31.618
HX281,66,2004,84,31.343,31.577
HX281,87,2004,86,31.314,31.504
HX283,2,2004,123,31.262,31.812
HX283,46,2004,12,31.261,31.793
HX283,47,2004,126,31.247,31.704
HX283,113,2004,131,31.259,31.807
HX286,4,2004,177,31.384,32.069
HX286,51,2004,181,31.405,32.119
HX286,83,2004,183,31.83,32.139
HX286,118,2004,185,31.537,32.002
NW3,90,2004,242,31.631,32.16
HX292,3,2004,272,30.824,32.133
HX292,11,2004,273,31.153,32.176
HX292,22,2004,275,29.298,32.006
HX292,71,2004,280,30.296,32.06
LO70,1,2004,333,30.828,31.935
HX293,2,2004,334,30.391,31.986
HX293,68,2004,339,30.75,31.767
HX293,90,2004,342,30.914,31.597
OD1,1,2005,22,30.94,31.387
LO71,2,2005,46,31.12,31.616
OD2,1,2005,5,31.197,31.851
LO72,2,2005,116,31.348,31.83
TN179,2,2005,127,31.587,31.928
TN179,33,2005,12,31.359,31.962
OD3,1,2005,130,31.434,32.047
LO73,1,2005,167,31.613,32.114
LO74,1,2005,188,31.321,32.063
LO75,1,2005,23,31.43,32.21
TXF05,27,2005,254,31.053,32.173
TXF05,36,2005,255,31.297,32.225
LO76,1,2005,352,30.829,31.231
LO77,1,2006,48,30.917,31.675
LO78,1,2006,87,31.396,31.666
LO79,1,2006,115,31.382,31.555
TN194,19400201,2006,133,31.48,31.851
TN194,19402701,2006,137,31.583,31.996
LO80,1,2006,176,31.534,31.978
TXF06,2,2006,256,31.507,32.057
TXF06,46,2006,260,31.032,31.964
LO81,1,2006,338,30.487,31.502
LO82,1,2007,18,31.119,31.301
LO83,1,2007,42,31.244,31.694
LO84,1,2007,78,31.795,31.849
LO85,1,2007,114,31.853,31.884
TXS07,38,2007,129,31.839,32.049
LO86,1,2007,177,31.56,31.959
LO87,1,2007,19,31.514,32.136
LO88,1,2007,234,31.703,32.267
TXF07,37,2007,251,31.307,32.151
LO89,1,2007,296,31.112,32.18
LO91,1,2007,332,30.732,31.51
LO92,1,2007,361,30.85,31.334
LO93,1,2008,16,31.03,31.379
LO94,1,2008,81,31.227,31.64
LO95,1,2008,100,31.367,31.834
TXS08,3,2008,123,31.387,31.745
LO96,1,2008,156,31.401,31.764
LO97,1,2008,212,31.236,32.167
TXF08,2,2008,255,30.373,31.943
LO98,1,2008,302,30.218,31.816
LO99,1,2008,32,30.298,31.519
LO100,1,2008,33,30.57,31.565
LO101,1,2009,27,31.207,31.801
LO102,1,2009,47,31.207,31.415
LO103,1,2009,70,31.519,31.73
LO104,1,2009,105,31.577,31.86
LO105,1,2009,166,31.746,32.131
LO106,1,2009,182,31.745,32.077
LO107,1,2009,286,30.982,32.019
LO108,1,2009,344,31.683,32.063
LO109,1,2010,2,31.115,31.69
LO110,1,2010,52,31.435,31.663
LO111,1,2010,82,31.328,31.605
LO112,1,2010,108,31.355,31.561
TXS10,29,2010,12,31.487,31.958
LO113,1,2010,237,31.613,32.327
TXF10,3,2010,25,31.79,32.426
LO114,1,2010,287,31.019,32.105
LO115,1,2010,299,31.041,32.199
LO116,1,2010,312,30.188,31.715
LO117,1,2010,35,31.033,31.587
LO118,1,2011,19,31.302,31.633
LO119,1,2011,39,31.37,31.779
LO120,1,2011,82,31.654,31.681
TXS11,85,2011,126,31.461,31.715
LO121,1,2011,235,31.381,31.98
TXF11,13,2011,259,31.11,31.933
LO122,1,2012,29,31.298,31.496
LO123,1,2012,73,31.413,31.5
LO124,1,2012,95,31.446,31.665
TXS12,12,2012,125,31.65,31.848
TXS12,46,2012,129,31.518,31.649
TXS12,47,2012,0,31.526,31.631
TXF12,2,2012,254,30.273,32.191
TXF12,3,2012,255,30.279,32.166
TXF12,47,2012,260,31.296,32.174
LO125,8,2012,297,30.951,32.22
LO125,9,2012,297,30.951,32.22
LO126,1,2013,9,31.261,31.636
LO127,2,2013,42,31.344,31.577
LO128,6,2013,42,31.786,32.402
TXS13,2,2013,11,31.637,32.056
TXS13,65,2013,124,31.639,31.985
LO129,3,2013,225,31.728,32.284
TXF13,2,2013,253,31.468,32.43
TXF13,112,2013,268,31.391,32.477
LO130,5,2013,294,30.973,32.019
LO131,4,2013,318,31.067,31.943
LO132,10,2014,29,31.08,31.878
LO133,12,2014,5,31.401,31.923
LO134,13,2014,100,31.511,31.869
LO135,11,2014,153,31.71,32.154
LO136,14,2014,202,31.334,32.016
LO137,7,2014,237,31.409,32.169
